"X" "Y"
"856" 752646 4430908
"857" 752828 4430753
"858" 753230 4430426
"859" 753120 4430462
"860" 753449 4429405
"861" 753223 4431436
"862" 752664 4432230
"863" 753380 4430598
"864" 752809 4431222
"865" 752982 4430890
"866" 752804 4429599
"867" 753264 4430902
"868" 752408 4430245
"869" 752036 4429085
"870" 753217 4431409
"871" 753325 4430970
"872" 752455 4430541
"873" 753035 4431756
"874" 752666 4430784
"875" 751862 4430541
"876" 753123 4431185
"877" 753520 4430418
"878" 753517 4431017
"879" 752883 4429800
"880" 752763 4431014
"881" 752455 4430541
"882" 753263 4430274
"883" 753270 4430170
"884" 752512 4430268
"885" 752112 4429517
"886" 750934 4431321
"887" 752638 4429830
"888" 752476 4431193
"889" 752828 4430607
"890" 753060 4429906
"891" 752776 4431023
"892" 753680 4432058
"893" 752384 4430964
"894" 752426 4431202
"895" 752447 4430391
"896" 752807 4430515
"897" 753425 4430602
"898" 752606 4429974
"899" 753780 4430306
"900" 753426 4431382
"901" 753464 4430298
"902" 753492 4430390
"903" 752711 4430790
"904" 753527 4432324
"905" 751846 4430244
"906" 753501 4430541
"907" 752752 4429908
"908" 752350 4431423
"909" 753263 4429984
"910" 752483 4430598
"911" 753075 4429900
"912" 752609 4429963
"913" 753416 4430602
"914" 752639 4430558
"915" 752989 4430262
"916" 752459 4431145
"917" 753158 4430601
"918" 752952 4429954
"919" 753000 4431101
"920" 752966 4430105
"921" 752661 4430624
"922" 751949 4429725
"923" 753492 4430390
"924" 753760 4430198
"925" 753158 4430601
"926" 753257 4430384
"927" 752096 4429725
"928" 753420 4430005
"929" 752758 4430421
"930" 753438 4430683
"931" 752608 4430792
"932" 752371 4431008
"933" 751943 4430263
"934" 752454 4430461
"935" 752608 4430792
"936" 752127 4429960
"937" 752640 4429920
"938" 753270 4430170
"939" 753256 4430967
"940" 753130 4431406
"941" 753084 4431464
"942" 753146 4431639
"943" 752983 4429340
"944" 752983 4429340
"945" 753603 4430154
"946" 752983 4429340
"947" 753603 4430154
"948" 753976 4431475
"949" 751772 4429330
"950" 752426 4431202
"951" 753516 4431374
"952" 753658 4431600
"953" 753300 4431547
"954" 750739 4430970
"955" 753029 4430613
"956" 753716 4430545
"957" 753657 4431595
"958" 753265 4431470
"959" 752948 4429728
"960" 752941 4429864
"961" 753123 4431158
"962" 753027 4430894
"963" 753372 4430108
"964" 753120 4431880
"965" 752085 4429196
"966" 753184 4429789
"967" 752085 4429196
"968" 753158 4431448
"969" 752085 4429196
"970" 752938 4430168
"971" 752938 4430168
"972" 753154 4431494
"973" 752938 4430168
"974" 753249 4429718
"975" 752703 4429957
"976" 753158 4431448
"977" 752938 4430168
"978" 752938 4430168
"979" 751478 4430621
"980" 752910 4430710
"981" 753760 4430198
"982" 752789 4430032
"983" 752807 4430515
"984" 752519 4430288
"985" 753404 4430525
"986" 753658 4430352
"987" 752311 4431013
"988" 752955 4431634
"989" 752765 4430959
"990" 752032 4429076
"991" 752032 4429076
"992" 753358 4430997
"993" 753324 4430878
"994" 753070 4430941
