"xcoord" "ycoord"
"1173" 752045 4430659
"1174" 752045 4430659
"1175" 752041 4430764
"1176" 752038 4430196
"1177" 752039 4429991
"1178" 752047 4429068
"1179" 752047 4429068
"1180" 752045 4430866
"1181" 752042 4429312
"1182" 752042 4430647
"1183" 752043 4430567
"1184" 752045 4429243
"1185" 752049 4430672
"1186" 752050 4429717
"1187" 752049 4430672
"1188" 752042 4429872
"1189" 752048 4429099
"1190" 752048 4429099
"1191" 752048 4429602
"1192" 752048 4429602
"1193" 752049 4429239
"1194" 752048 4429602
"1195" 752048 4429602
"1196" 752053 4430686
"1197" 752058 4429428
"1198" 752058 4429428
"1199" 752046 4431008
"1200" 752054 4431077
"1201" 752051 4429894
"1202" 752051 4429288
"1203" 752051 4429288
"1204" 752051 4429288
"1205" 752051 4429894
"1206" 752053 4429235
"1207" 752057 4429351
"1208" 752049 4429487
"1209" 752057 4429351
"1210" 752049 4429487
"1211" 752057 4429351
"1212" 752049 4429487
"1213" 752049 4429487
"1214" 752056 4429776
"1215" 752054 4430298
"1216" 752054 4430298
"1217" 752050 4430593
"1218" 752056 4429336
"1219" 752060 4430862
"1220" 752060 4430862
"1221" 752057 4430700
"1222" 752057 4430700
"1223" 752053 4431078
"1224" 752056 4429502
"1225" 752056 4429502
"1226" 752058 4429598
"1227" 752058 4429598
"1228" 752057 4431000
"1229" 752054 4430610
"1230" 752058 4429598
"1231" 752058 4429598
"1232" 752058 4429598
"1233" 752058 4429598
"1234" 752060 4429095
"1235" 752057 4429734
"1236" 752057 4429734
"1237" 752057 4429734
"1238" 752057 4429734
"1239" 752059 4429913
"1240" 752059 4429775
"1241" 752059 4429775
"1242" 752059 4429775
"1243" 752051 4429077
"1244" 752051 4429077
"1245" 752051 4429077
