"cx" "cy"
"484" 752178.1221 4430018.932
"485" 752178.3696 4429800.476
"486" 752179.5242 4429547.026
"487" 752179.6059 4430830.57
"488" 752180.0181 4431000.536
"489" 752181.0077 4430848.366
"490" 752182.5748 4430201.896
"491" 752183.4816 4430627.91
"492" 752185.3777 4431422.652
"493" 752185.7081 4430327.67
"494" 752189.3357 4431372.862
"495" 752193.542 4429838.068
"496" 752193.9538 4430623.011
"497" 752195.9334 4429605.215
"498" 752200.5508 4430073.721
"499" 752201.3752 4430436.749
"500" 752203.1898 4429439.348
"501" 752203.5195 4429790.178
"502" 752204.0964 4430252.885
"503" 752209.4559 4430903.755
"504" 752210.2812 4429643.207
"505" 752219.269 4429827.57
"506" 752219.8461 4430121.012
"507" 752221.4958 4429195.397
"508" 752226.1133 4429525.431
"509" 752227.5974 4429780.38
"510" 752227.7622 4429919.252
"511" 752228.5872 4429299.476
"512" 752232.0494 4431083.719
"513" 752232.2143 4431231.79
"514" 752235.4311 4429589.718
"515" 752238.3995 4429702.995
"516" 752239.6357 4430962.544
"517" 752242.5222 4430176.5
"518" 752243.2645 4429817.772
"519" 752252.2525 4429739.588
"520" 752252.9117 4430603.415
"521" 752254.1482 4431366.563
"522" 752254.6437 4429985.639
"523" 752257.0349 4430105.515
"524" 752258.6834 4431274.381
"525" 752262.3125 4429766.182
"526" 752263.797 4429162.203
"527" 752264.2087 4430229.59
"528" 752266.5182 4429164.503
"529" 752267.0943 4431140.108
"530" 752267.671 4431949.146
"531" 752269.4033 4430805.375
"532" 752270.5575 4431209.194
"533" 752271.7952 4429806.075
"534" 752272.2071 4430429.45
"535" 752273.4445 4429508.734
"536" 752274.7633 4430429.15
"537" 752274.7637 4429799.076
"538" 752276.6602 4429804.075
"539" 752276.9075 4430040.428
"540" 752276.9904 4429251.285
"541" 752278.3921 4429367.662
"542" 752281.69 4430159.904
"543" 752284.8237 4429684.699
"544" 752287.8739 4431049.126
"545" 752296.615 4430089.118
"546" 752297.1925 4429715.793
"547" 752299.0881 4431339.468
"548" 752299.8303 4431285.979
"549" 752302.6346 4429887.858
"550" 752302.882 4429887.758
"551" 752304.7774 4432034.729
"552" 752310.056 4429747.786
"553" 752311.4569 4431309.974
"554" 752318.549 4430144.307
"555" 752319.9513 4429208.494
"556" 752322.1774 4429779.48
"557" 752323.0836 4431178.7
"558" 752325.3921 4431788.079
"559" 752328.4441 4429953.545
"560" 752329.3506 4431023.431
"561" 752331.6595 4430904.055
"562" 752332.6492 4430577.021
"563" 752335.0398 4431851.666
"564" 752335.9482 4429310.573
"565" 752336.4419 4431268.582
"566" 752338.7517 4429440.447
"567" 752340.7303 4430199.996
"568" 752341.307 4431143.807
"569" 752346.5844 4431144.007
"570" 752347.244 4431222.891
"571" 752347.3262 4431719.592
"572" 752348.151 4431289.178
"573" 752349.8009 4430008.534
"574" 752350.0476 4431163.403
"575" 752354.9138 4429095.317
"576" 752355.242 4431989.938
"577" 752357.9636 4431158.904
"578" 752357.9636 4431303.975
"579" 752360.0252 4430948.246
"580" 752361.4277 4429654.505
"581" 752368.0243 4429860.364
"582" 752369.3435 4430058.824
"583" 752371.8988 4431814.873
"584" 752374.043 4431206.195
"585" 752379.0727 4431671.102
"586" 752382.041 4432212.594
"587" 752384.8462 4429261.983
"588" 752385.8347 4430988.438
"589" 752390.3704 4430113.913
"590" 752394.5759 4429924.851
"591" 752399.3586 4429747.686
"592" 752400.5132 4429375.86
"593" 752400.678 4429634.509
"594" 752400.6782 4429375.66
"595" 752401.0902 4429751.885
"596" 752403.2334 4431138.508
"597" 752403.9764 4429637.708
"598" 752405.212 4431912.254
"599" 752410.902 4431272.082
"600" 752410.9029 4429527.63
"601" 752411.5623 4430170.902
"602" 752412.1395 4430172.301
"603" 752414.6952 4431033.329
"604" 752415.1071 4431764.683
"605" 752415.3542 4432288.779
"606" 752416.9222 4429979.24
"607" 752421.4563 4431887.059
"608" 752421.7046 4430234.589
"609" 752425.3334 4429153.505
"610" 752426.9819 4430278.88
"611" 752427.1473 4429416.352
"612" 752430.1151 4430841.668
"613" 752432.7543 4429833.169
"614" 752432.8368 4429833.369
"615" 752435.0633 4429516.932
"616" 752435.5576 4430355.565
"617" 752437.9491 4430030.33
"618" 752440.9166 4431854.565
"619" 752441.9069 4430411.853
"620" 752442.1537 4431327.87
"621" 752447.3489 4430895.157
"622" 752453.0387 4430480.54
"623" 752453.6151 4432035.829
"624" 752454.6061 4429319.372
"625" 752455.1824 4430919.652
"626" 752455.3481 4429581.019
"627" 752457.0785 4431827.871
